Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Growth Environment]	Factor Value[Time]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Media Information]	Term Source REF	Term Accession Number	Parameter Value[Growth Temperature]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
G10.8	G10.8	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	p-SS316	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G11.1	G11.1	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	LIS	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G11.2	G11.2	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	LIS	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G11.3	G11.3	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	LIS	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G11.4	G11.4	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	LIS	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
16.1	16.1	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
16.2	16.2	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
16.3	16.3	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
16.4	16.4	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
16.5	16.5	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	p-SS316	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
16.6	16.6	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	p-SS316	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
16.7	16.7	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	p-SS316	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
17.1	17.1	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	LIS	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
17.2	17.2	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	LIS	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
17.3	17.3	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	LIS	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
17.4	17.4	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	LIS	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G16.1	G16.1	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	SS316	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G16.2	G16.2	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	SS316	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G16.3	G16.3	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	SS316	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G16.4	G16.4	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	SS316	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G16.5	G16.5	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	p-SS316	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G16.6	G16.6	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	p-SS316	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G16.7	G16.7	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	p-SS316	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G17.1	G17.1	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	LIS	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G17.2	G17.2	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	LIS	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G17.3	G17.3	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	LIS	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G17.4	G17.4	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	LIS	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
